influencer_name,platform,date,url,caption,reach,likes,comments
Sarah Johnson,instagram,2024-01-15,https://instagram.com/p/abc123,Check out this amazing fashion trend!,125000,8500,320
Mike Chen,youtube,2024-01-20,https://youtube.com/watch?v=xyz789,Latest tech review - must watch!,89000,12000,450
Emma Davis,instagram,2024-01-25,https://instagram.com/p/def456,Beauty tips that actually work!,210000,15000,520
Alex Rodriguez,instagram,2024-02-01,https://instagram.com/p/ghi789,Workout routine for beginners,156000,11000,380
Lisa Wang,youtube,2024-02-05,https://youtube.com/watch?v=jkl012,Amazing recipe tutorial!,95000,8000,290
David Kim,twitter,2024-02-10,https://twitter.com/status/123456,Quick tech tip for developers,78000,3500,180
Maria Garcia,instagram,2024-02-15,https://instagram.com/p/mno345,Spring fashion collection!,189000,13000,410
James Wilson,youtube,2024-02-20,https://youtube.com/watch?v=pqr678,Fitness motivation video,112000,9500,320
Sophie Brown,instagram,2024-02-25,https://instagram.com/p/stu901,Skincare routine reveal!,145000,12000,380
Ryan Lee,linkedin,2024-03-01,https://linkedin.com/posts/abc123,Professional networking tips,67000,2800,150
Jessica Martinez,instagram,2024-03-05,https://instagram.com/p/vwx234,Makeup transformation!,178000,14000,420
Carlos Rodriguez,youtube,2024-03-10,https://youtube.com/watch?v=yza567,Advanced workout techniques,134000,11000,350
Amanda Thompson,instagram,2024-03-15,https://instagram.com/p/bcd890,Summer fashion trends!,167000,13000,390
Kevin Zhang,youtube,2024-03-20,https://youtube.com/watch?v=efg123,Coding tutorial for beginners,92000,7500,280
Rachel Green,instagram,2024-03-25,https://instagram.com/p/hij456,Delicious food photography!,89000,6500,240
Marcus Johnson,youtube,2024-04-01,https://youtube.com/watch?v=klm789,Home workout challenge,145000,12000,380
Natalie Chen,instagram,2024-04-05,https://instagram.com/p/nop012,Beauty product review!,198000,16000,480
Brandon Lee,twitter,2024-04-10,https://twitter.com/status/def456,AI technology insights,76000,4200,220
Isabella Garcia,instagram,2024-04-15,https://instagram.com/p/qrs345,Elegant fashion styling!,156000,13000,410
Daniel Kim,youtube,2024-04-20,https://youtube.com/watch?v=tuv678,Yoga for flexibility,123000,9800,320
Olivia Wilson,instagram,2024-04-25,https://instagram.com/p/wxy901,Natural beauty tips!,187000,15000,450
Christopher Brown,linkedin,2024-05-01,https://linkedin.com/posts/ghi789,Career development advice,89000,3600,180
Sophia Davis,instagram,2024-05-05,https://instagram.com/p/zab234,Foodie adventures!,112000,8500,290
Andrew Miller,youtube,2024-05-10,https://youtube.com/watch?v=cde567,Strength training guide,167000,14000,420
Victoria Taylor,instagram,2024-05-15,https://instagram.com/p/fgh890,Glowing skin routine!,234000,18000,550
Jonathan Anderson,youtube,2024-05-20,https://youtube.com/watch?v=ijk123,Programming best practices,98000,8200,310
Mia Rodriguez,instagram,2024-05-25,https://instagram.com/p/lmn456,Street style fashion!,145000,12000,380
Robert Chen,youtube,2024-06-01,https://youtube.com/watch?v=opq789,Cardio workout session,134000,11000,350
